City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,fort mcmurray,56.7268,-111.381,6.73,81,100,3.6,CA,1728096952
135,mar del plata,-38.0023,-57.5575,13.62,78,0,6.17,AR,1728096713
136,tolna,46.4268,18.7825,10.86,88,100,2.58,HU,1728096955
137,talnakh,69.4865,88.3972,-2.12,96,100,3.0,RU,1728096957
138,aqadyr,48.2553,72.8483,6.53,40,83,6.02,KZ,1728096958
139,tolanaro,-25.0319,46.9987,17.04,82,75,2.06,MG,1728096960
140,mtimbira,-8.7833,36.35,23.21,52,90,1.84,TZ,1728096961
141,kinwat,19.6333,78.2,26.77,78,12,2.09,IN,1728096962
142,nelson bay,-32.7167,152.15,26.73,55,3,5.81,AU,1728096964
143,vila franca do campo,37.7167,-25.4333,24.23,94,100,5.99,PT,1728096965
144,gunjur,13.2019,-16.7339,25.04,100,40,1.03,GM,1728096967
145,wailua homesteads,22.0669,-159.378,27.85,64,0,6.17,US,1728096968
146,vorgashor,67.5833,63.95,-1.84,83,86,2.57,RU,1728096970
147,kachug,53.9606,105.8817,5.04,54,72,1.4,RU,1728096971
148,afaahiti,-17.75,-149.2833,22.68,79,100,10.77,PF,1728096973
149,anadyr,64.75,177.4833,2.28,93,100,6.0,RU,1728096974
150,lai chau,22.3997,103.4517,23.36,58,20,1.2,VN,1728096975
151,newman,37.3138,-121.0208,28.36,39,0,0.89,US,1728096977
152,briare,47.6334,2.7438,7.23,91,42,1.91,FR,1728096978
153,fale old settlement,-9.3852,-171.2468,27.61,78,55,5.63,TK,1728096980
154,champerico,14.3,-91.9167,27.15,82,96,1.79,GT,1728096981
155,kodinsk,58.6881,99.1844,3.35,96,100,4.01,RU,1728096983
156,patong,7.8961,98.2966,29.08,76,100,1.01,TH,1728096984
157,vorkuta,67.5,64.0,-1.67,83,89,2.48,RU,1728096823
158,isangel,-19.55,169.2667,28.06,57,75,4.12,VU,1728096987
159,ust-nera,64.5667,143.2,-0.05,88,99,3.41,RU,1728096988
160,huilong,31.8111,121.655,22.93,70,98,5.29,CN,1728096990
161,longyearbyen,78.2186,15.6401,-4.09,86,75,3.09,SJ,1728096991
162,lamar,33.6668,-95.5836,23.95,71,0,2.06,US,1728096993
163,bredasdorp,-34.5322,20.0403,18.46,53,7,1.84,ZA,1728096994
164,xinzhi,36.4989,111.7047,19.68,30,100,0.95,CN,1728096996
165,nuevo casas grandes,30.4167,-107.9167,20.37,22,0,2.91,MX,1728096997
166,mili,6.0815,171.735,28.97,71,72,4.16,MH,1728096998
167,pisco,-13.7,-76.2167,17.03,88,75,2.06,PE,1728097000
168,pathein,16.7833,94.7333,28.82,81,94,3.27,MM,1728097001
169,lewistown,40.5992,-77.5714,15.67,100,0,0.0,US,1728097003
170,emerald,-23.5333,148.1667,30.19,30,0,2.72,AU,1728097004
171,leava,-14.3,-178.1667,26.98,84,80,9.05,WF,1728097006
172,minzhu,43.7286,127.3447,16.89,58,52,3.03,CN,1728097007
173,mahina,-17.5065,-149.489,26.87,65,100,4.12,PF,1728097009
174,ivdel',60.6911,60.4206,5.14,81,100,1.44,RU,1728097010
175,callaway,30.153,-85.5699,24.44,86,100,3.13,US,1728097011
176,kenora,49.8167,-94.4337,10.54,62,20,3.6,CA,1728097013
177,den burg,53.0542,4.7972,8.99,93,0,1.03,NL,1728097014
178,santa ana,33.7456,-117.8678,22.15,89,75,3.6,US,1728097016
179,chunskiy,56.0815,99.6342,5.77,78,100,3.31,RU,1728097017
180,las vegas,36.175,-115.1372,36.2,13,40,3.6,US,1728096364
181,olyokminsk,60.3736,120.4264,3.61,68,100,3.29,RU,1728097020
182,nueva gerona,21.8833,-82.8,27.73,83,10,2.0,CU,1728097021
183,kone,-21.0595,164.8658,28.98,42,1,3.07,NC,1728097023
184,olonkinbyen,70.9221,-8.7187,-0.86,71,53,3.93,SJ,1728097024
185,hammerfest,70.6634,23.6821,5.25,81,20,4.63,NO,1728097026
186,avarua,-21.2078,-159.775,24.03,53,40,4.63,CK,1728097027
